WORD|COUNT
near|1
now|1
here|1
between|1
beneath|1
overhead|1
about|1
away|1
outside|2
well|1
offshore|1
above|1
below|2
following|3
north|1
when|1
upon|1
where|6
like|3
as|12
into|5
on|9
around|2
in|20
throughout|1
across|7
along|1
over|1
at|5
than|1
before|2
of|44
against|3
down|2
within|1
to|18
with|11
together|1
but|7
from|10
underground|1
by|7
a|14
home|2
ahead|1
during|4
come|1
despite|1
through|4
for|12
